               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.075517,             0.03043,            0.052985,           0.0021197,             0.39405,           0.0019813,           0.0005457,            0.049841,            0.017704,            0.038107,             0.07008,           0.0033244,           0.0033244
                   1,            0.058648,            0.031293,            0.048692,            0.002207,             0.44464,           0.0021377,          0.00058768,            0.047295,            0.017535,            0.036775,            0.039949,           0.0065259,           0.0065259
                   2,            0.057827,            0.031511,            0.048069,           0.0023419,             0.44728,           0.0024008,          0.00065406,            0.048204,            0.017496,            0.036388,           0.0096848,           0.0095954,           0.0095954
                   3,              0.0573,            0.031396,            0.047453,           0.0021945,             0.43719,           0.0025331,          0.00071629,            0.047033,            0.017709,            0.036464,            0.009406,            0.009406,            0.009406
                   4,            0.056356,            0.031426,            0.047026,           0.0027219,             0.49608,           0.0042623,           0.0011767,            0.046513,            0.017554,            0.035616,            0.009406,            0.009406,            0.009406
                   5,            0.055618,            0.031559,              0.0463,           0.0027445,             0.53428,           0.0050547,           0.0013533,            0.047164,            0.017172,            0.034772,            0.009208,            0.009208,            0.009208
                   6,            0.055733,            0.031605,            0.045696,           0.0026503,             0.47724,           0.0041314,           0.0012694,            0.045224,            0.017736,             0.03532,             0.00901,             0.00901,             0.00901
                   7,            0.055265,            0.031304,            0.044708,            0.002996,             0.55973,           0.0053155,           0.0015711,            0.046825,            0.017521,             0.03507,            0.008812,            0.008812,            0.008812
                   8,            0.055429,            0.031557,            0.043159,           0.0028417,             0.57943,           0.0048396,           0.0013352,            0.046477,            0.017311,            0.032528,            0.008614,            0.008614,            0.008614
                   9,            0.054962,            0.031659,            0.042229,           0.0030298,             0.57628,           0.0083087,           0.0023806,            0.046455,            0.017613,            0.032562,            0.008416,            0.008416,            0.008416
                  10,            0.054698,            0.031518,            0.041683,           0.0036762,             0.61232,           0.0094423,           0.0026595,            0.045662,            0.017444,             0.03179,            0.008218,            0.008218,            0.008218
                  11,            0.054372,            0.031402,            0.040653,            0.003278,             0.66937,           0.0094365,           0.0026363,            0.045607,            0.017374,            0.032255,             0.00802,             0.00802,             0.00802
                  12,            0.054603,            0.031605,            0.039531,           0.0032356,             0.65613,           0.0089474,           0.0025601,            0.046327,            0.017513,             0.03385,            0.007822,            0.007822,            0.007822
                  13,            0.053791,            0.031908,            0.038598,           0.0069251,             0.38675,            0.011935,           0.0031229,            0.045626,            0.017513,            0.030662,            0.007624,            0.007624,            0.007624
                  14,            0.053865,            0.030961,            0.038653,           0.0040482,             0.68165,            0.015889,           0.0044225,            0.044617,            0.017573,            0.028904,            0.007426,            0.007426,            0.007426
                  15,            0.053349,            0.031918,             0.03677,             0.16289,             0.13778,            0.017499,           0.0047143,            0.044991,            0.017432,            0.031766,            0.007228,            0.007228,            0.007228
                  16,            0.053931,            0.031816,            0.036833,             0.18273,            0.064327,            0.017713,            0.004634,            0.045194,            0.017552,             0.02836,             0.00703,             0.00703,             0.00703
                  17,            0.053811,            0.031634,            0.035174,             0.02579,             0.10974,            0.016201,           0.0045488,            0.044861,            0.017556,            0.028074,            0.006832,            0.006832,            0.006832
                  18,            0.053458,            0.031811,            0.034519,            0.024022,              0.1847,            0.021366,           0.0060091,            0.044913,            0.017449,            0.029344,            0.006634,            0.006634,            0.006634
                  19,            0.053178,            0.031598,            0.033859,            0.020762,             0.27554,            0.024297,           0.0069581,            0.044357,            0.017489,            0.026728,            0.006436,            0.006436,            0.006436
                  20,             0.05296,            0.031226,            0.033574,             0.19463,             0.06983,            0.022964,           0.0059074,            0.045732,            0.017305,            0.027819,            0.006238,            0.006238,            0.006238
                  21,            0.052673,             0.03123,             0.03306,             0.08585,            0.053622,            0.023603,           0.0065598,            0.044179,            0.017427,            0.027148,             0.00604,             0.00604,             0.00604
